id,declarant1.nom,declarant1.nomNaissance,declarant1.prenoms,declarant1.dob,declarant2.nom,declarant2.nomNaissance,declarant2.prenoms,declarant2.dob,adress.ligne1,adress.ligne2,anneeImpots,anneeRevenus,dateRecouvrement,dateEtablissement,nombreParts,situationFamiliale,nombreDePersonneACharge,revenuBrutGlobal,revenuImposable,impotsNetAvantCorrections,impots,revenuFiscalReference,situationPartielle,erreurCorrectif
1902599999001+1902599999001,MARTIN,MARTIN,Jean-étienne,13/08/1967,MARTIN,BONNET,Sylvie,01/08/1947,3 Rue Jean Jaurès,25500 Morteau,2019,2018,10/10/2018,08/07/2018,2,Marié(e)s,2,26 922 €,26 922 €,2 165 €,2 165 €,26 922 €,"(*) Situation  2017  partielle",
1902599999002+1902599999002,BERNARD,BERNARD,Philippe,22/03/1985,BERNARD,DUPONT,Nathalie,01/12/1973,1 Rue des Marronniers,25500 Morteau,2019,2018,10/10/2018,08/07/2018,2,Marié(e)s,2,18 410 €,18 410 €,2 165 €,2 165 €,18 410 €,,"Ce document ne correspond pas à la situation la plus récente pour cet usager"
1902599999003+1902599999003,THOMAS,THOMAS,Michel,19/09/1954,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2019,2018,10/10/2018,08/07/2018,1,Célibataire,1,18 409 €,18 409 €,2 165 €,2 165 €,18 409 €,"(*) Situation  2017  partielle","Ce document ne correspond pas à la situation la plus récente pour cet usager"
1902599999004+1902599999004,PETIT,PETIT,Alain,13/08/1967,PETIT,FONTAINE,Rosette,24/11/1967,5 rue du Tacot,25660 Montrond-le-Château,2019,2018,10/10/2018,08/07/2018,2,Marié(e)s,2,21 000 €,21 000 €,2 165 €,2 165 €,21 000 €,,
1902599999005+1902599999005,ROBERT,ROBERT,Patrick,16/02/1949,,,,,3 Rue Jean Jaurès,25500 Morteau,2019,2018,13/07/2018,13/07/2018,1,Célibataire,1,16 550 €,16 550 €,0 €,0 €,16 550 €,,
1902599999006+1902599999006,RICHARD,RICHARD,Nicolas,13/08/1967,RICHARD,VINCENT,Françoise,13/08/1967,1 Rue des Marronniers,25500 Morteau,2019,2018,10/10/2018,08/07/2018,4,Marié(e)s,4,48 751 €,48 751 €,1 432 €,1 432 €,48 751 €,,
1902599999007+1902599999007,DURAND,DURAND,Christophe,22/03/1985,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2019,2018,10/10/2018,08/07/2018,2,Célibataire,2,43 296 €,43 296 €,1 432 €,1 432 €,43 296 €,,
1902599999008+1902599999008,DUBOIS,DUBOIS,Pierre,19/09/1954,DUBOIS,LEFEVRE,Alain,16/02/1949,5 rue du Tacot,25660 Montrond-le-Château,2019,2018,10/10/2018,08/07/2018,5,Marié(e)s,5,38 031 €,38 031 €,1 132 €,1 132 €,38 031 €,,
1902599999009+1902599999009,MOREAU,MOREAU,Christian,13/08/1967,,,,,3 Rue Jean Jaurès,25500 Morteau,2019,2018,10/10/2018,08/07/2018,1,Célibataire,1,33 775 €,33 775 €,731 €,731 €,33 775 €,,
1902599999010+1902599999010,LAURENT,LAURENT,Éric,16/02/1949,,,,,1 Rue des Marronniers,25500 Morteau,2019,2018,13/07/2018,13/07/2018,1,Célibataire,1,18 876 €,18 876 €,0 €,0 €,18 876 €,,
1902599999011+1902599999011,SIMON,SIMON,Frédéric,16/02/1949,SIMON,MERCIER,Amina,19/09/1954,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2019,2018,10/10/2018,08/07/2018,2,Marié(e)s,2,25 258 €,25 258 €,0 €,0 €,25 258 €,,
1902599999012+1902599999012,MICHEL,MICHEL,Laurent,13/08/1967,MICHEL,BLANC,Isabelle,13/08/1967,5 rue du Tacot,25660 Montrond-le-Château,2019,2018,10/10/2018,08/07/2018,2,Marié(e)s,2,20 000 €,20 000 €,0 €,0 €,20 000 €,,
1902599999013+1902599999013,LEFEBVRE,LEFEBVRE,Stéphane,22/03/1985,,,,,3 Rue Jean Jaurès,25500 Morteau,2019,2018,10/10/2018,08/07/2018,3,Célibataire,3,4 394 €,4 394 €,0 €,0 €,4 394 €,,
1902599999014+1902599999014,LEROY,LEROY,David,19/09/1954,LEROY,BOYER,Catherine,13/08/1967,1 Rue des Marronniers,25500 Morteau,2019,2018,10/10/2018,08/07/2018,2,Marié(e)s,2,29 505 €,29 505 €,2 165 €,2 165 €,29 505 €,,
1902599999015+1902599999015,ROUX,ROUX,Pascal,13/08/1967,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2019,2018,13/07/2018,13/07/2018,3,Célibataire,3,25 256 €,25 256 €,2 165 €,2 165 €,25 256 €,,
1902599999016+1902599999016,DAVID,DAVID,Daniel,16/02/1949,DAVID,CHEVALIER,Rose,19/09/1954,5 rue du Tacot,25660 Montrond-le-Château,2019,2018,10/10/2018,08/07/2018,2,Marié(e)s,2,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €,,
1902599999017+1902599999017,BERTRAND,BERTRAND,Alexandre,13/08/1967,,,,,3 Rue Jean Jaurès,25500 Morteau,2019,2018,10/10/2018,08/07/2018,1,Célibataire,1,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €,,
1902599999018+1902599999018,MOREL,MOREL,Julien,22/03/1985,MOREL,LEGRAND,Florence,01/08/1947,1 Rue des Marronniers,25500 Morteau,2019,2018,10/10/2018,08/07/2018,2,Marié(e)s,2,37 825 €,37 825 €,2 665 €,2 665 €,37 825 €,,
1902599999019+1902599999019,FOURNIER,FOURNIER,Thierry,19/09/1954,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2018,2017,10/10/2018,08/07/2018,1,Célibataire,1,32 376 €,32 376 €,2 165 €,2 165 €,32 376 €,,
1902599999020+1902599999020,GIRARD,GIRARD,Olivier,13/08/1967,,,,,5 rue du Tacot,25660 Montrond-le-Château,2018,2017,13/07/2018,13/07/2018,1,Célibataire,1,48 751 €,48 751 €,1 123 €,1 123 €,48 751 €,,
1802599999001+1802599999001,MARTIN,MARTIN,Jean-étienne,13/08/1967,MARTIN,BONNET,Sylvie,01/08/1947,3 Rue Jean Jaurès,25500 Morteau,2018,2017,10/10/2018,08/07/2018,2,Marié(e)s,2,26 922 €,26 922 €,2 165 €,2 165 €,26 922 €,"(*) Situation  2017  partielle",
1802599999002+1802599999002,BERNARD,BERNARD,Philippe,22/03/1985,BERNARD,DUPONT,Nathalie,01/12/1973,1 Rue des Marronniers,25500 Morteau,2018,2017,10/10/2018,08/07/2018,2,Marié(e)s,2,18 410 €,18 410 €,2 165 €,2 165 €,18 410 €,,"Ce document ne correspond pas à la situation la plus récente pour cet usager"
1802599999003+1802599999003,THOMAS,THOMAS,Michel,19/09/1954,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2018,2017,10/10/2018,08/07/2018,1,Célibataire,1,18 409 €,18 409 €,2 165 €,2 165 €,18 409 €,"(*) Situation  2017  partielle","Ce document ne correspond pas à la situation la plus récente pour cet usager"
1802599999004+1802599999004,PETIT,PETIT,Alain,13/08/1967,PETIT,FONTAINE,Rosette,24/11/1967,5 rue du Tacot,25660 Montrond-le-Château,2018,2017,10/10/2018,08/07/2018,2,Marié(e)s,2,21 000 €,21 000 €,2 165 €,2 165 €,21 000 €,,
1802599999005+1802599999005,ROBERT,ROBERT,Patrick,16/02/1949,,,,,3 Rue Jean Jaurès,25500 Morteau,2018,2017,13/07/2018,13/07/2018,1,Célibataire,1,16 550 €,16 550 €,0 €,0 €,16 550 €,,
1802599999006+1802599999006,RICHARD,RICHARD,Nicolas,13/08/1967,RICHARD,VINCENT,Françoise,13/08/1967,1 Rue des Marronniers,25500 Morteau,2018,2017,10/10/2018,08/07/2018,4,Marié(e)s,4,48 751 €,48 751 €,1 432 €,1 432 €,48 751 €,,
1802599999007+1802599999007,DURAND,DURAND,Christophe,22/03/1985,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2018,2017,10/10/2018,08/07/2018,2,Célibataire,2,43 296 €,43 296 €,1 432 €,1 432 €,43 296 €,,
1802599999008+1802599999008,DUBOIS,DUBOIS,Pierre,19/09/1954,DUBOIS,LEFEVRE,Alain,16/02/1949,5 rue du Tacot,25660 Montrond-le-Château,2018,2017,10/10/2018,08/07/2018,5,Marié(e)s,5,38 031 €,38 031 €,1 132 €,1 132 €,38 031 €,,
1802599999009+1802599999009,MOREAU,MOREAU,Christian,13/08/1967,,,,,3 Rue Jean Jaurès,25500 Morteau,2018,2017,10/10/2018,08/07/2018,1,Célibataire,1,33 775 €,33 775 €,731 €,731 €,33 775 €,,
1802599999010+1802599999010,LAURENT,LAURENT,Éric,16/02/1949,,,,,1 Rue des Marronniers,25500 Morteau,2018,2017,13/07/2018,13/07/2018,1,Célibataire,1,18 876 €,18 876 €,Non imposable,Non imposable,18 876 €,,
1802599999011+1802599999011,SIMON,SIMON,Frédéric,16/02/1949,SIMON,MERCIER,Amina,19/09/1954,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2018,2017,10/10/2018,08/07/2018,2,Marié(e)s,2,25 258 €,25 258 €,0 €,0 €,25 258 €,,
1802599999012+1802599999012,MICHEL,MICHEL,Laurent,13/08/1967,MICHEL,BLANC,Isabelle,13/08/1967,5 rue du Tacot,25660 Montrond-le-Château,2018,2017,10/10/2018,08/07/2018,2,Marié(e)s,2,20 000 €,20 000 €,0 €,0 €,20 000 €,,
1802599999013+1802599999013,LEFEBVRE,LEFEBVRE,Stéphane,22/03/1985,,,,,3 Rue Jean Jaurès,25500 Morteau,2018,2017,10/10/2018,08/07/2018,3,Célibataire,3,4 394 €,4 394 €,0 €,0 €,4 394 €,,
1802599999014+1802599999014,LEROY,LEROY,David,19/09/1954,LEROY,BOYER,Catherine,13/08/1967,1 Rue des Marronniers,25500 Morteau,2018,2017,10/10/2018,08/07/2018,2,Marié(e)s,2,29 505 €,29 505 €,2 165 €,2 165 €,29 505 €,,
1802599999015+1802599999015,ROUX,ROUX,Pascal,13/08/1967,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2018,2017,13/07/2018,13/07/2018,3,Célibataire,3,25 256 €,25 256 €,2 165 €,2 165 €,25 256 €,,
1802599999016+1802599999016,DAVID,DAVID,Daniel,16/02/1949,DAVID,CHEVALIER,Rose,19/09/1954,5 rue du Tacot,25660 Montrond-le-Château,2018,2017,10/10/2018,08/07/2018,2,Marié(e)s,2,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €,,
1802599999017+1802599999017,BERTRAND,BERTRAND,Alexandre,13/08/1967,,,,,3 Rue Jean Jaurès,25500 Morteau,2018,2017,10/10/2018,08/07/2018,1,Célibataire,1,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €,,
1802599999018+1802599999018,MOREL,MOREL,Julien,22/03/1985,MOREL,LEGRAND,Florence,01/08/1947,1 Rue des Marronniers,25500 Morteau,2018,2017,10/10/2018,08/07/2018,2,Marié(e)s,2,37 825 €,37 825 €,2 665 €,2 665 €,37 825 €,,
1802599999019+1802599999019,FOURNIER,FOURNIER,Thierry,19/09/1954,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2018,2017,10/10/2018,08/07/2018,1,Célibataire,1,32 376 €,32 376 €,2 165 €,2 165 €,32 376 €,,
1802599999020+1802599999020,GIRARD,GIRARD,Olivier,13/08/1967,,,,,5 rue du Tacot,25660 Montrond-le-Château,2018,2017,13/07/2018,13/07/2018,1,Célibataire,1,48 751 €,48 751 €,1 123 €,1 123 €,48 751 €,,
1702599999001+1702599999001,MARTIN,MARTIN,Jean-étienne,13/08/1967,MARTIN,BONNET,Sylvie,01/08/1947,3 Rue Jean Jaurès,25500 Morteau,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,26 922 €,26 922 €,2 165 €,2 165 €,26 922 €,"(*) Situation  2016  partielle",
1702599999002+1702599999002,BERNARD,BERNARD,Philippe,22/03/1985,BERNARD,DUPONT,Nathalie,01/12/1973,1 Rue des Marronniers,25500 Morteau,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,18 410 €,18 410 €,2 165 €,2 165 €,18 410 €,,"Ce document ne correspond pas à la situation la plus récente pour cet usager"
1702599999003+1702599999003,THOMAS,THOMAS,Michel,19/09/1954,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,18 409 €,18 409 €,2 165 €,2 165 €,18 409 €,"(*) Situation  2016  partielle","Ce document ne correspond pas à la situation la plus récente pour cet usager"
1702599999004+1702599999004,PETIT,PETIT,Alain,13/08/1967,PETIT,FONTAINE,Rosette,24/11/1967,5 rue du Tacot,25660 Montrond-le-Château,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,21 000 €,21 000 €,2 165 €,2 165 €,21 000 €,,
1702599999005+1702599999005,ROBERT,ROBERT,Patrick,16/02/1949,,,,,3 Rue Jean Jaurès,25500 Morteau,2017,2016,13/07/2017,13/07/2017,1,Célibataire,1,16 550 €,16 550 €,0 €,0 €,16 550 €,,
1702599999006+1702599999006,RICHARD,RICHARD,Nicolas,13/08/1967,RICHARD,VINCENT,Françoise,13/08/1967,1 Rue des Marronniers,25500 Morteau,2017,2016,10/10/2017,08/07/2017,4,Marié(e)s,4,48 751 €,48 751 €,1 432 €,1 432 €,48 751 €,,
1702599999007+1702599999007,DURAND,DURAND,Christophe,22/03/1985,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2017,2016,10/10/2017,08/07/2017,2,Célibataire,2,43 296 €,43 296 €,1 432 €,1 432 €,43 296 €,,
1702599999008+1702599999008,DUBOIS,DUBOIS,Pierre,19/09/1954,DUBOIS,LEFEVRE,Alain,16/02/1949,5 rue du Tacot,25660 Montrond-le-Château,2017,2016,10/10/2017,08/07/2017,5,Marié(e)s,5,38 031 €,38 031 €,1 132 €,1 132 €,38 031 €,,
1702599999009+1702599999009,MOREAU,MOREAU,Christian,13/08/1967,,,,,3 Rue Jean Jaurès,25500 Morteau,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,33 775 €,33 775 €,731 €,731 €,33 775 €,,
1702599999010+1702599999010,LAURENT,LAURENT,Éric,16/02/1949,,,,,1 Rue des Marronniers,25500 Morteau,2017,2016,13/07/2017,13/07/2017,1,Célibataire,1,18 876 €,18 876 €,Non imposable,Non imposable,18 876 €,,
1702599999011+1702599999011,SIMON,SIMON,Frédéric,16/02/1949,SIMON,MERCIER,Amina,19/09/1954,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,25 258 €,25 258 €,0 €,0 €,25 258 €,,
1702599999012+1702599999012,MICHEL,MICHEL,Laurent,13/08/1967,MICHEL,BLANC,Isabelle,13/08/1967,5 rue du Tacot,25660 Montrond-le-Château,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,20 000 €,20 000 €,0 €,0 €,20 000 €,,
1702599999013+1702599999013,LEFEBVRE,LEFEBVRE,Stéphane,22/03/1985,,,,,3 Rue Jean Jaurès,25500 Morteau,2017,2016,10/10/2017,08/07/2017,3,Célibataire,3,4 394 €,4 394 €,0 €,0 €,4 394 €,,
1702599999014+1702599999014,LEROY,LEROY,David,19/09/1954,LEROY,BOYER,Catherine,13/08/1967,1 Rue des Marronniers,25500 Morteau,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 505 €,29 505 €,2 165 €,2 165 €,29 505 €,,
1702599999015+1702599999015,ROUX,ROUX,Pascal,13/08/1967,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2017,2016,13/07/2017,13/07/2017,3,Célibataire,3,25 256 €,25 256 €,2 165 €,2 165 €,25 256 €,,
1702599999016+1702599999016,DAVID,DAVID,Daniel,16/02/1949,DAVID,CHEVALIER,Rose,19/09/1954,5 rue du Tacot,25660 Montrond-le-Château,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €,,
1702599999017+1702599999017,BERTRAND,BERTRAND,Alexandre,13/08/1967,,,,,3 Rue Jean Jaurès,25500 Morteau,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €,,
1702599999018+1702599999018,MOREL,MOREL,Julien,22/03/1985,MOREL,LEGRAND,Florence,01/08/1947,1 Rue des Marronniers,25500 Morteau,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,37 825 €,37 825 €,2 665 €,2 665 €,37 825 €,,
